供应商,客户或合作方,客户类型,关系类型,工作内容或领域,原文证据,来源链接,来源日期,来源类型,置信度,分段
Gray Swan AI,CAISI (NIST),政府,合作,加入 UK AISI 智能体红队挑战赛,Gray Swan AI Welcomes U.S. AI Safety Institute to the UK AISI Agent Red-Teaming Challenge（搜索摘要）,https://www.grayswan.ai/news/gray-swan-ai-welcomes-u-s-ai-safety-institute-to-the-uk-aisi-agent-red-teaming-challenge,2025,官方博客,高,overseas-rl
SuperAnnotate,Canva,企业,客户,B 轮报道列出的客户,"customers include Databricks, Canva, Motorola Solutions, IBM, and Qualcomm",https://techcrunch.com/2024/11/18/superannotate-helps-companies-manage-their-ai-data-sets/,2024-11-18,媒体报道,低,overseas-large
Scale AI,Center for AI Safety,其他,共建基准,Humanity's Last Exam,Humanity's Last Exam was created jointly by the Center for AI Safety and Scale AI,https://arxiv.org/abs/2501.14249,2025-01,论文原文,高,buyer-side
Scale AI,Center for AI Safety（CAIS）,高校研究机构,共建基准,Humanity's Last Exam 专家难题基准,Scale AI and the Center for AI Safety (CAIS) published results of Humanity's Last Exam,https://scale.com/blog/humanitys-last-exam-results,2025-01,供应商官方,高,overseas-large
Pareto.AI,Character AI,其他,合作,专家整理的数据集与评测,"partnerships with leading AI research organizations, including Anthropic, Character AI, METR, and MATS",https://grokipedia.com/page/Pareto_AI,2025,二手转述（搜索摘要）,低,overseas-large
Invisible Technologies,Charlotte Hornets,其他,客户,公司自述客户,"it works with tech giants like Microsoft and AWS, insurance provider American Family Insurance, and even the NBA's Charlotte Hornets",https://www.inc.com/ben-sherry/invisible-technologies-just-raised-100-million-to-build-out-tools-for-businesses/91241134,2025-09,媒体报道,中,overseas-large
Datacurve,Chemistry,其他,投资方,A 轮 1500 万美元,$15 million Series A in October 2025 led by Chemistry（搜索摘要）,https://techfundingnews.com/datacurve-raises-15m-series-a-chemistry-high-quality-ai-coding-datasets/,2025-10,媒体报道（搜索摘要）,中,overseas-rl
Scale AI,Circadence,企业,合作,政府与企业网络安全智能体,Circadence and Scale AI announced a strategic partnership,https://www.businesswire.com/news/home/20260624276348/en/Circadence-and-Scale-AI-Partner-to-Strengthen-AI-Driven-Cyber-Readiness-Across-Government-and-Enterprise,2026-06-24,新闻稿,高,overseas-large
Applied Compute,Cognition,AI 应用公司,客户,定制 RL 后训练模型 / 企业代理,"Its customers include DoorDash, coding startup Cognition, and data labelling firm Mercor（搜索摘要）",https://www.forbes.com/sites/richardnieva/2026/09/01/applied-compute-openai-the-ex-openai-guys-building-cheaper-open-source-alternative/,2026-09-01,媒体报道,中,overseas-rl
Mercor,Cognition,AI 应用公司,共建基准,APEX-SWE 软件工程基准,"APEX-SWE, a new benchmark, in partnership with Cognition",https://www.mercor.com/apex/,2026,供应商官网（搜索摘要）,中,buyer-side
Proximal,Cognition 员工（个人天使）,AI 应用公司,投资方,种子轮个人天使,"backers include Scribble Ventures (lead), and angels from OpenAI, Anthropic, Thinking Machines, Google DeepMind, xAI, Meta Superintelligence, Cursor and Cognition（搜索摘要）",https://www.rl-list.com/vendors/proximal,未知,第三方目录,低,overseas-rl
Appen,Cohere,frontier lab,官网客户墙（转述）,Command 模型微调专家标注,Cohere partnered with Appen to source expert annotators... for the Command model,https://www.appen.com/case-studies/cohere-fine-tuning-for-enterprise,2024,供应商案例,中,buyer-side
Invisible Technologies,Cohere,AI 应用公司,客户,Command R 幻觉减少、10 种语言扩展、稀有编程语言,Cohere partnered with Invisible to train their Command R model for hallucination reduction,https://invisibletech.ai/case-studies/cohere-agentic-enterprise-tasks,2024,供应商官方案例,中,overseas-large
未具名供应商,Cohere,frontier lab,论文致谢,Command A 指令数据来自专业数据供应商,high quality data sourced from specialised data vendors,https://cohere.com/research/papers/command-a-technical-report.pdf,2025-03,技术报告（搜索摘要）,中,buyer-side
BenchFlow,Construct Capital,其他,投资方,$1M 种子轮,"$1M seed funding came in January 2025 from investors including YC, Pear, Construct, FAST-GETTYLAB, and Ankit Jain（搜索摘要）",https://www.startuphub.ai/startups/benchflow-ai,2025-01,第三方目录,低,overseas-rl
HUD,Cua,AI 应用公司,合作,电脑使用 agent 评测集成（OSWorld 等）,Cua × HUD - Evaluate Any Computer-Use Agent（搜索摘要）,https://cua.ai/blog/hud-agent-evals,未知,官方博客,中,overseas-rl
Snorkel AI,Cua,AI 应用公司,共建基准,基于 Cua-Bench 构建 CUA-Bench+ 计算机使用数据,"The work feeds directly into CUA-Bench+, Snorkel's Data Series line for computer-use and GUI agent tasks（搜索摘要）",https://snorkel.ai/cua-bench-computer-use-agent-benchmark/,2026,官方博客,中,overseas-rl
Proximal,Cursor 员工（个人天使）,AI 应用公司,投资方,种子轮个人天使,"backers include Scribble Ventures (lead), and angels from OpenAI, Anthropic, Thinking Machines, Google DeepMind, xAI, Meta Superintelligence, Cursor and Cognition（搜索摘要）",https://www.rl-list.com/vendors/proximal,未知,第三方目录,低,overseas-rl
Scale AI,DIU,其他,客户,融资稿列出的客户,"Scale is trusted by industry leaders, including Meta, Morgan Stanley, Microsoft, the U.S. Army, the DoD's Defense Innovation Unit, OpenAI, General Motors, and Toyota Research Institute",https://www.businesswire.com/news/home/20240521674964/en/Scale-AI-Raises-$1-Billion-Series-F-to-Push-The-Frontier-of-AI-Data,2024-05-21,供应商官方新闻稿,低,overseas-large
Bespoke Labs,DataComp 社区,高校研究机构,合作,OpenThoughts 开源推理数据集,A collaboration led by Bespoke Labs and the DataComp community,https://github.com/open-thoughts/open-thoughts,未知,官方 GitHub README,高,overseas-rl
SuperAnnotate,Databricks,企业,客户,B 轮报道列出的客户,"customers include Databricks, Canva, Motorola Solutions, IBM, and Qualcomm",https://techcrunch.com/2024/11/18/superannotate-helps-companies-manage-their-ai-data-sets/,2024-11-18,媒体报道,低,overseas-large
SuperAnnotate,Databricks（Mosaic AI）,科技大厂,客户,DBRX 微调数据与 RAG 评测；获 2025 Databricks ISV 客户影响力合作伙伴奖,Databricks Mosaic AI team uses SuperAnnotate ... to build the DBRX open source model,https://www.superannotate.com/blog/superannotate-2025-databricks-isv-customer-impact-partner-of-the-year,2025,供应商官方,高,overseas-large
Adaptive ML,Datadog,科技大厂,客户变动（停止合作等）,被 Datadog 收购并入 Datadog AI Research（独立性终止）,Datadog announced that it has acquired Adaptive ML ... Financial terms of the transaction were not disclosed（搜索摘要）,https://www.datadoghq.com/about/latest-news/press-releases/datadog-acquires-adaptive-ml-to-accelerate-its-investment-in-ai-research-and-development/,2026-06-30,新闻稿,高,overseas-rl
Patronus AI,Datadog,科技大厂,投资方,A 轮投资,Series A ... led by Notable Capital ... with participation from Lightspeed Venture Partners and Datadog（搜索摘要）,https://www.patronus.ai/blog/announcing-our-17-million-series-a,2024-05,官方博客,高,overseas-rl
Veris AI,Decibel Ventures,其他,投资方,种子轮 850 万美元,$8.5M in seed funding led by Decibel Ventures and Acrew Capital（搜索摘要）,https://www.businesswire.com/news/home/20250603868539/en/Veris-AI-Emerges-from-Stealth-with-$8.5M-to-Train-AI-Agents-Using-Simulated-Experience-Removing-Roadblocks-to-Enterprise-Adoption,2025-06-03,新闻稿（搜索摘要）,高,overseas-rl
Centific,Dell,其他,客户,融资报道列出的客户,"Centific's customers include OpenAI, Anthropic PBC, xAI Inc., Mistral AI SAS, Microsoft Corp., Google LLC",https://siliconangle.com/2025/06/25/ai-data-foundry-provider-centific-lands-60m-grow-enterprise-footprint/,2025-06-25,媒体报道,中,overseas-large
Prime Intellect,Dell (Dell Technologies Capital),科技大厂,投资方,A 轮跟投,"led by Radical Ventures with Nvidia Ventures, Intel Capital, Dell Technologies Capital, and Iconiq.（搜索摘要）",https://techcrunch.com/2026/07/08/prime-intellect-raises-130m-series-a-to-help-enterprises-build-their-own-ai-agents/,2026-07-08,媒体报道,中,overseas-rl
Haize Labs,Deloitte,企业,客户,AI 红队/评测,"works with leading AI organizations including OpenAI, Anthropic, AI21 Labs, Google Cloud, Scale AI, HackerOne, Deloitte, and MongoDB（搜索摘要）",https://workos.com/blog/haize-labs-vs-workos-ai-safety-testing-enterprise-authentication,未知,第三方目录,低,overseas-rl
Applied Compute,DoorDash,企业,客户,定制 RL 后训练模型 / 企业代理,"Its customers include DoorDash, coding startup Cognition, and data labelling firm Mercor（搜索摘要）",https://www.forbes.com/sites/richardnieva/2026/09/01/applied-compute-openai-the-ex-openai-guys-building-cheaper-open-source-alternative/,2026-09-01,媒体报道,中,overseas-rl
HUD,DoorDash,企业,客户,RL 环境/评测平台,"DoorDash, UiPath, and Sharpe correctly remain self-claimed customers on the RL List's HUD vendor profile（搜索摘要）",https://www.rl-list.com/vendors/hud,未知,第三方目录,低,overseas-rl
iMerit,EXL,企业,投资方,EXL 以最高 3.1 亿美元收购 iMerit（被收购方）,EXL ... announced a definitive agreement to acquire iMerit,https://ir.exlservice.com/news-releases/news-release-details/exl-acquire-imerit-advancing-its-leadership-enterprise-ai-adding,2026-06-24,新闻稿,高,overseas-large
General Reasoning,Eigent,AI 应用公司,合作,OpenReward 上架 SETA 环境,SETA from Eigent（搜索摘要）,https://www.gr.inc/releases/introducing-openreward,2026-03,官方博客,高,overseas-rl
Applied Compute,Elad Gil,其他,投资方,洽谈中 $350M 轮，估值约 $3B,Applied Compute in Talks for $3B Round Led by Elad Gil（搜索摘要）,https://aiweekly.co/alerts/applied-compute-in-talks-for-3b-round-led-by-elad-gil,2026-08,媒体报道,低,overseas-rl
Patronus AI,Emergence AI,AI 应用公司,客户,Percival 智能体调试/优化,"Additional customers ... include Nova AI, Emergence AI, Weaviate, Etsy, Gamma, Hospitable.com, and Algomo（搜索摘要）",https://www.extruct.ai/hub/patronus-ai-funding/,未知,第三方目录,低,overseas-rl
Arga Labs,Emergence Capital,其他,投资方,种子轮投资（$10M）,"General Catalyst led Arga's seed round, with BoxGroup, Emergence, Gradient and SV Angel participating（搜索摘要）",https://techcrunch.com/2026/08/26/arga-is-building-a-better-way-to-train-enterprise-ai-agents/,2026-08-26,媒体报道,中,overseas-rl
Poindexter Labs,Episode 1 Ventures（领投）,其他,投资方,£2M 种子轮,"The round was led by Episode 1, with participation from Yvonne Bajela's Evertrue Capital and Octopus Ventures' First Cheque Fund（搜索摘要）",https://tech.eu/2026/06/02/poindexter-labs-raises-ps2m-to-improve-training-data-for-advanced-ai/,2026-06-02,媒体报道,中,overseas-rl
Patronus AI,Etsy,企业,客户,多模态 LLM-as-a-Judge 图片描述幻觉检测,Etsy uses Patronus AI's MLLM-as-a-Judge to detect and mitigate caption hallucination（搜索摘要）,https://www.patronus.ai/case-studies/etsy-leveraging-patronus-ais-multimodal-llm-as-a-judge-to-optimize-image-captionin,未知,官方博客,中,overseas-rl
Poindexter Labs,Evertrue Capital,其他,投资方,£2M 种子轮,"The round was led by Episode 1, with participation from Yvonne Bajela's Evertrue Capital and Octopus Ventures' First Cheque Fund（搜索摘要）",https://tech.eu/2026/06/02/poindexter-labs-raises-ps2m-to-improve-training-data-for-advanced-ai/,2026-06-02,媒体报道,中,overseas-rl
Good Start Labs,Every,企业,投资方,由 Every 孵化分拆（spin-out）,"a 2025 Every spin-out building game-based RL environments (AI Diplomacy/Diplomacy Arena, LOL Arena)（搜索摘要）",https://www.rl-list.com/vendors/good-start-labs,2026,第三方目录,低,overseas-rl
Vals AI,Exa,AI 应用公司,客户,评测平台使用,"Vercel, Exa, Fireworks AI and Harvey are listed as users of Vals' products（搜索摘要）",https://www.citybiz.co/article/890247/vals-ai-raises-40m-to-expand-independent-ai-benchmarking/,2026-08,搜索摘要,低,overseas-rl
Snorkel AI,Factory,AI 应用公司,合作,$3M Open Benchmarks Grants 共同支持方,"a $3 million grant program ... established with support from Hugging Face, Prime Intellect, Together AI, Factory, Harbor, and PyTorch（搜索摘要）",https://www.prnewswire.com/news-releases/snorkel-ai-highlights-first-wave-of-open-benchmarks-grants-projects-302833805.html,2026-07-24,新闻稿,高,overseas-rl
光轮智能 Lightwheel,Figure AI,垂直AI,合作,仿真资产/合成数据/评测,合作伙伴涵盖英伟达、谷歌、Figure AI、1X Technologies…阿里、智元机器人…比亚迪、吉利等,https://finance.sina.com.cn/wm/2026-03-12/doc-inhqtcut4893757.shtml,2026-03-12,融资稿/媒体报道,中,china
光轮智能 Lightwheel,Figure AI,垂直 AI,客户,具身仿真/合成数据,客户覆盖英伟达、谷歌、Figure AI、1X Technologies、字节、阿里…,https://news.qq.com/rain/a/20260311A055JX00,2026-03-11,媒体（融资通稿，搜索摘要）,中,china
Huzzle Labs,Financial Times,企业,官网客户墙（转述）,RL 环境/专家轨迹/评测（官网自称，未经第三方核实）,"Self-claimed customers include Apple, Lazard, and Financial Times ... no third-party verification（搜索摘要）",https://www.rl-list.com/vendors/huzzle-labs,2026,第三方目录,低,overseas-rl
Vals AI,Fireworks AI,AI 应用公司,客户,评测平台使用,"Vercel, Exa, Fireworks AI and Harvey are listed as users of Vals' products（搜索摘要）",https://www.citybiz.co/article/890247/vals-ai-raises-40m-to-expand-independent-ai-benchmarking/,2026-08,搜索摘要,低,overseas-rl
Vals AI,Fisher Phillips,企业,合作,法律 AI 基准律所联盟（律师对照组）,"developed in partnership with ... Legaltech Hub and a consortium of law firms including Reed Smith, Fisher Phillips, McDermott Will and Emery, and Ogletree Deakins（搜索摘要）",https://www.artificiallawyer.com/2025/02/27/vals-publishes-results-of-first-legal-ai-benchmark-study/,2025-02-27,媒体报道,中,overseas-rl
Prime Intellect,Flapping Airplanes,其他,客户,托管后训练/RL 平台（新兴研究实验室 neolab）,"The startup's customers include Ramp, Zapier, and Flapping Airplanes, who pay the startup for a hosted version of its tools.（搜索摘要）",https://techcrunch.com/2026/07/08/prime-intellect-raises-130m-series-a-to-help-enterprises-build-their-own-ai-agents/,2026-07-08,媒体报道,中,overseas-rl
